name	paper	last	bid	offer	change	open	low	high	prev_price	volume	bid_depth_total	offer_depth_total
ABG Sundal Collier Holding	ASC	3.92	3.92	3.97	-0.07	3.8	3.8	3.92	3.99	23244	121909	40981
AF Gruppen	AFG	57.5	57.25	57.5	0.25	57.5	57.5	57.5	57.25	4000	8490	113451
AGR Group	AGR	0	8.55	9.	0	0	0	0	9	0	6234	6307
AKVA Group	AKVA	0	12.	13.55	0	0	0	0	12	0	9000	18500
Acta Holding	ACTA	1.59	1.57	1.59	0.06	1.57	1.56	1.59	1.53	39768	1086170	371812
Aker	AKER	182.5	182.5	183.	0.5	182.	181.	182.5	182	5881	48787	27674
Aker BioMarine	AKBM	0	1.03	1.04	0	0	0	0	1	0	446645	274619
Aker Seafoods	AKS	6.7	6.7	6.75	0.1	6.7	6.7	6.7	6.6	10000	16731	55314
Aker Solutions	AKSO	106.5	106.5	106.7	0.7	106.	105.	106.7	105.8	121401	92375	119115
Algeta	ALGETA	149.3	148.2	149.1	1.3	147.9	144.8	151.6	148	29665	10907	26936
American Shipping Company	AMSC	3.49	3.46	3.56	0.04	3.47	3.47	3.64	3.45	43164	182661	304392
Apptix	APP	0	3.28	3.6	0	0	0	0	3.5	0	5640	67935
Archer 	ARCHER	10.3	10.3	10.4	0.1	10.25	10.1	10.4	10.2	145821	200214	217700
Arendals Fossekompani	AFK	0	1590.	1640.	0	0	0	0	1640	0	91	271
Atea	ATEA	54.25	54.	54.5	0.25	54.	53.5	54.25	54	8159	29608	35109
Aurskog Sparebank	AURG	135.	135.	136.5	0.	135.	135.	135.	135	150	545	5174
Austevoll Seafood	AUSS	24.8	24.5	24.9	0.	25.	24.8	25.	24.8	31	8883	58703
Avocet Mining	AVM	8.48	8.46	8.48	0.23	8.59	8.46	8.59	8.25	21518	39849	80379
BW Offshore Limited	BWO	4.29	4.28	4.32	0.05	4.2	4.12	4.31	4.24	607734	239354	180743
BWG Homes	BWG	12.05	12.05	12.2	0.15	12.	11.95	12.05	11.9	29514	60694	117815
Bakkafrost	BAKKA	47.8	46.	48.5	1.9	47.8	47.8	47.8	45.9	5	5205	10976
Belships	BEL	0	4.67	4.85	0	0	0	0	4.75	0	8600	9190
Bergen Group	BERGEN	6.63	6.6	6.78	-0.09	6.7	6.51	6.7	6.72	4300	48882	65737
Bionor Pharma 	BIONOR	3.81	3.79	3.81	0.15	3.7	3.7	3.81	3.66	337103	259804	766126
